ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,RaceCode,Latitude,Longitude,WorkersNeeded
AF,Afghanistan,10959,101653,Brahui,Brahui,304000,1,Y,brh,Brahui,3,6,Islam,0.100000001490116,0.1,21,A012,"South Asian Peoples",261,C0172,"South Asian, other",4,5,"Central Asia",ASI,Asia,Y,CNN23z,30.0908,64.73688,6
AF,Afghanistan,11140,102927,British,British,1100,4,N,eng,English,4,1,Christianity,72,6,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,129,5,"Central Asia",ASI,Asia,Y,CEW19,34.53312,69.190864,
AF,Afghanistan,16585,111780,Changar,Changar,2900,1,Y,urd,Urdu,4,6,Islam,0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25o,34.470761,69.633613,1
AF,Afghanistan,19437,104950,Chitrali,"Chitrali, Kho",9500,1,Y,khw,Khowar,1,6,Islam,0,0,21,A012,"South Asian Peoples",261,C0172,"South Asian, other",2,5,"Central Asia",ASI,Asia,Y,CNN23#,36.653176,70.212641,1
AF,Afghanistan,11510,102467,Darwazi,"Darwazi, Badakhshani",15000,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,1,5,"Central Asia",ASI,Asia,Y,CNT24z,38.05962,70.72609,1
AF,Afghanistan,19007,114916,Deaf,Deaf,,1,Y,afg,"Afghan Sign Language",1,6,Islam,0.05,0,26,A017,Deaf,328,C0252,Deaf,216,5,"Central Asia",ASI,Asia,Y,,34.532499999975,69.1366059996671,1
AF,Afghanistan,12741,105087,"Garwi, Kohistani","Garwi, Kohistani",1800,1,Y,gwc,Kalami,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.012132091223,71.448485211923,1
AF,Afghanistan,11871,103305,German,German,2700,4,N,deu,"German, Standard",4,1,Christianity,78,5,12,A003,"Eurasian Peoples",175,C0079,Germanic,82,5,"Central Asia",ASI,Asia,Y,CEW19m,34.5502,69.1707,
AF,Afghanistan,17549,112971,"Gujar (Muslim traditions)","Gujar (Muslim traditions)",17000,1,Y,gju,Gujari,1,6,Islam,0.0299999993294477,0.0299999993294477,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25o,35.24842,71.48793000000001,1
AF,Afghanistan,12076,103743,Hazara,Hazara,3674000,1,Y,haz,Hazaragi,2,6,Islam,0.0299999993294477,0.0299999993294477,24,A015,"Turkic Peoples",313,C0225,Uyghur,5,5,"Central Asia",ASI,Asia,Y,MSY41z,34.3503899997986,66.94109000040319,73
AF,Afghanistan,20542,116135,Ishkashimi,Ishkashimi,3000,1,Y,isk,Ishkashimi,0,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Central Asia",ASI,Asia,Y,CNT24z,36.71347,71.563232,1
AF,Afghanistan,12273,104096,Italian,Italian,1800,3,N,ita,Italian,4,1,Christianity,77,0.200000002980232,12,A003,"Eurasian Peoples",193,C0098,Italian,60,5,"Central Asia",ASI,Asia,Y,CEW21e,34.5507,69.1717,
AF,Afghanistan,12526,104638,Karakalpak,Karakalpak,3100,1,Y,kaa,Karakalpak,3,6,Islam,0,0,24,A015,"Turkic Peoples",202,C0108,Kazakh,8,5,"Central Asia",ASI,Asia,Y,MSY41s,36.66888,67.10763,1
AF,Afghanistan,12599,104791,Kazakh,Kazakh,3100,1,Y,kaz,Kazakh,4,6,Islam,0,0,24,A015,"Turkic Peoples",202,C0108,Kazakh,25,5,"Central Asia",ASI,Asia,Y,MSY41e,36.69403,69.12300999999999,1
AF,Afghanistan,18125,113631,"Khatri (Sikh traditions)","Khatri (Sikh traditions)",2600,1,Y,pan,"Punjabi, Eastern",4,8,"Other / Small",0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,2,5,"Central Asia",ASI,Asia,Y,CNN25n,34.321458,69.14323,1
AF,Afghanistan,18369,113939,Kohistani,Kohistani,44000,1,Y,mvy,"Kohistani, Indus",1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.204284,69.45316,1
AF,Afghanistan,11126,101922,"Kurd, Central","Kurd, Central",255000,1,Y,ckb,"Kurdish, Central",4,6,Islam,0.00999999977648258,0.00999999977648258,14,A005,Persian-Median,208,C0114,Kurd,5,5,"Central Asia",ASI,Asia,Y,CNT24c,34.5155000002248,69.1952000001799,5
AF,Afghanistan,12933,105550,Kyrgyz,Kyrgyz,1200,1,Y,kir,Kyrgyz,4,6,Islam,0,0,24,A015,"Turkic Peoples",204,C0110,Kyrgyz,13,5,"Central Asia",ASI,Asia,Y,MSY41g,37.0646400004356,74.2469200001578,1
AF,Afghanistan,13761,106706,Moghal,Moghal,2100,1,Y,prs,Dari,4,6,Islam,0,0,21,A012,"South Asian Peoples",312,C0224,"Urdu Muslim",6,5,"Central Asia",ASI,Asia,Y,CNN25r,34.2362626084326,62.2759217832636,1
AF,Afghanistan,13878,106912,Munji,Munji,6600,1,Y,mnj,Munji,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNT24z,35.79309,70.85744,1
AF,Afghanistan,17714,113164,Mussali,Mussali,3100,1,Y,pan,"Punjabi, Eastern",4,6,Islam,0,0,21,A012,"South Asian Peoples",272,C0183,Punjabi,3,5,"Central Asia",ASI,Asia,Y,CNN25n,34.422154,69.09527199999999,1
AF,Afghanistan,11835,103257,"Narisati, Arandui","Narisati, Arandui",37000,1,Y,gwt,Gawar-Bati,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.22045,71.53814,1
AF,Afghanistan,10703,101097,"Nuristani Narisati","Nuristani Narisati",136000,1,Y,bsh,Kati,1,6,Islam,0.100000001490116,0,14,A005,Persian-Median,251,C0159,Nuristan,2,5,"Central Asia",ASI,Asia,Y,CNT24d,35.48049,70.75245,2
AF,Afghanistan,10453,100556,"Nuristani, Ashkuni","Nuristani, Ashkuni",46000,1,Y,ask,Ashkun,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.11697,70.59229999999999,1
AF,Afghanistan,11936,103472,"Nuristani, Grangali","Nuristani, Grangali",11000,1,Y,nli,Grangali,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,34.87613,70.70943,1
AF,Afghanistan,12482,104545,"Nuristani, Kamviri","Nuristani, Kamviri",21000,1,Y,xvi,Kamviri,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.40963,71.32342,1
AF,Afghanistan,13431,106126,"Nuristani, Malakhel","Nuristani, Malakhel",3100,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,34.13174,69.01918000000001,1
AF,Afghanistan,14461,108147,"Nuristani, Prasuni","Nuristani, Prasuni",9100,1,Y,prn,Prasuni,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.4495,70.92815,1
AF,Afghanistan,15575,110188,"Nuristani, Tregami","Nuristani, Tregami",4000,1,Y,trm,Tregami,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.0073,71.11978999999999,1
AF,Afghanistan,15822,110623,"Nuristani, Waigeli","Nuristani, Waigeli",30000,1,Y,wbk,Waigali,1,6,Islam,0,0,14,A005,Persian-Median,251,C0159,Nuristan,1,5,"Central Asia",ASI,Asia,Y,CNT24d,35.17784,71.05953,1
AF,Afghanistan,15735,110432,Ormuri,Ormuri,3100,1,Y,pbt,"Pashto, Southern",2,6,Islam,0,0,14,A005,Persian-Median,267,C0178,Pashtun,1,5,"Central Asia",ASI,Asia,Y,CNT24d,32.774820000043,68.91851000013639,1
AF,Afghanistan,14255,107747,Pahlavani,Pahlavani,3500,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Central Asia",ASI,Asia,Y,CNT24f,31.33334,62.19879,1
AF,Afghanistan,14311,107875,Parachi,Parachi,7600,1,Y,prc,Parachi,0,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Central Asia",ASI,Asia,Y,CNT24a,35.07936,69.64313,1
AF,Afghanistan,14322,107901,Parsee,Parsee,2200,1,Y,prs,Dari,4,8,"Other / Small",0,0,14,A005,Persian-Median,265,C0176,Parsee,12,5,"Central Asia",ASI,Asia,Y,CNT24f,34.245037,61.583604,1
AF,Afghanistan,14324,107906,Parya,"Parya, Laghmani",300,1,Y,paq,Parya,1,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,3,5,"Central Asia",ASI,Asia,Y,CNT24z,34.47933,69.89671,1
AF,Afghanistan,13996,107420,"Pashayi, Northeast","Pashayi, Northeast",87000,1,Y,aee,"Pashai, Northeast",1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.66002,70.43165999999999,1
AF,Afghanistan,14042,107474,"Pashayi, Northwest","Pashayi, Northwest",90000,1,Y,glh,"Pashai, Northwest",1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.96106,70.04196,1
AF,Afghanistan,15025,109456,"Pashayi, Southeast","Pashayi, Southeast",516000,1,Y,psi,"Pashai, Southeast",1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.43099,70.30351,10
AF,Afghanistan,15072,109523,"Pashayi, Southwest","Pashayi, Southwest",114000,1,Y,psh,"Pashai, Southwest",1,6,Islam,0.00999999977648258,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.88104,69.77576000000001,2
AF,Afghanistan,14256,107909,"Pashtun, Northern","Pashtun, Northern",2596000,1,Y,pbu,"Pashto, Northern",4,6,Islam,0.01,0.01,14,A005,Persian-Median,267,C0178,Pashtun,20,5,"Central Asia",ASI,Asia,Y,CNT24a,33.562,68.363,51
AF,Afghanistan,14327,109502,"Pashtun, Southern","Pashtun, Southern",9023000,1,Y,pbt,"Pashto, Southern",2,6,Islam,0.0199999995529652,0.0199999995529652,14,A005,Persian-Median,267,C0178,Pashtun,7,5,"Central Asia",ASI,Asia,Y,CNT24a,33.5619999999001,68.3629999998501,180
AF,Afghanistan,14371,107987,Persian,Persian,626000,1,Y,pes,"Persian, Iranian",4,6,Islam,0.119999997317791,0.100000001490116,14,A005,Persian-Median,268,C0179,Persian,42,5,"Central Asia",ASI,Asia,Y,CNT24f,34.2582109352864,62.4460833448704,12
AF,Afghanistan,14483,108182,Punjabi,Punjabi,5600,1,Y,pan,"Punjabi, Eastern",4,6,Islam,1,0.3,21,A012,"South Asian Peoples",272,C0183,Punjabi,17,5,"Central Asia",ASI,Asia,Y,CNN25n,34.1478387962234,71.0732133629064,1
AF,Afghanistan,15382,110802,"Punjabi, Western","Punjabi, Western",35000,1,Y,pnb,"Punjabi, Western",4,6,Islam,0.200000002980232,0.1,21,A012,"South Asian Peoples",272,C0183,Punjabi,1,5,"Central Asia",ASI,Asia,Y,CNN25h,34.757485,70.30116700000001,1
AF,Afghanistan,14498,108231,Qizilbash,Qizilbash,282000,1,Y,prs,Dari,4,6,Islam,0,0,24,A015,"Turkic Peoples",309,C0221,Turkish,1,5,"Central Asia",ASI,Asia,Y,MSY41,32.3647769999586,62.0940299999845,5
AF,Afghanistan,14570,108397,"Romani, Balkan","Romani, Balkan",16000,1,Y,rmn,"Romani, Balkan",4,6,Islam,0,0,12,A003,"Eurasian Peoples",354,C0279,Romani,17,5,"Central Asia",ASI,Asia,Y,CNN25f,34.3504552842839,62.151338125554,1
AF,Afghanistan,11597,102682,"Romani, Domari","Romani, Domari",11000,1,Y,rmt,Domari,1,6,Islam,0.015,0,14,A005,Persian-Median,353,C0278,Domari,15,5,"Central Asia",ASI,Asia,Y,CNN25f,34.47461,69.12958,1
AF,Afghanistan,14598,108452,Russian,Russian,900,2,N,rus,Russian,4,7,Non-Religious,31,0.3,12,A003,"Eurasian Peoples",283,C0194,"Slav, Eastern",71,5,"Central Asia",ASI,Asia,Y,CEW22j,34.708655,69.232984,
AF,Afghanistan,14727,108647,Sanglechi,Sanglechi,2600,1,Y,sgy,Sanglechi,1,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Central Asia",ASI,Asia,Y,CNT24z,36.67411,71.57368,1
AF,Afghanistan,14782,108746,Sau,Sau,4600,1,Y,sdg,Savi,0,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.16964,71.45910000000001,1
AF,Afghanistan,14921,108967,Shughni,Shughni,43000,1,Y,sgh,Shughni,2,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,2,5,"Central Asia",ASI,Asia,Y,CNT24z,37.59163,71.37385,1
AF,Afghanistan,14924,108970,Shumashti,Shumashti,1500,1,Y,sts,Shumashti,1,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,34.74897,70.75085,1
AF,Afghanistan,14192,109027,Sindhi,Sindhi,23000,1,Y,snd,Sindhi,4,6,Islam,0.0799999982118607,0.0799999982118607,21,A012,"South Asian Peoples",281,C0192,Sindhi,6,5,"Central Asia",ASI,Asia,Y,CNN25p,34.5173684362043,69.10888638150131,1
AF,Afghanistan,15253,109822,Tangshuri,Tangshuri,15000,1,Y,prs,Dari,4,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,1,5,"Central Asia",ASI,Asia,Y,CNT24z,38.11159,71.21229,1
AF,Afghanistan,15500,110076,Tirahi,Tirahi,5400,1,Y,pbt,"Pashto, Southern",2,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,31.81734,66.46972,1
AF,Afghanistan,18274,113818,Turk,Turk,10000,1,Y,tur,Turkish,4,6,Islam,0,0,24,A015,"Turkic Peoples",309,C0221,Turkish,70,5,"Central Asia",ASI,Asia,Y,MSY41j,34.558664,68.88765600000001,1
AF,Afghanistan,15654,110306,Turkmen,Turkmen,2050000,1,Y,tuk,Turkmen,4,6,Islam,0,0,24,A015,"Turkic Peoples",310,C0222,Turkmen,14,5,"Central Asia",ASI,Asia,Y,MSY41k,36.59488,64.75669000000001,40
AF,Afghanistan,15755,110469,Uyghur,Uyghur,4600,1,Y,uig,Uyghur,3,6,Islam,0.0500000007450581,0.05,24,A015,"Turkic Peoples",313,C0225,Uyghur,14,5,"Central Asia",ASI,Asia,Y,MSY41z,34.89379,62.7225,1
AF,Afghanistan,15756,110472,"Uzbek, Southern","Uzbek, Southern",4115000,1,Y,uzs,"Uzbek, Southern",2,6,Islam,0.00999999977648258,0.00999999977648258,24,A015,"Turkic Peoples",314,C0226,Uzbek,5,5,"Central Asia",ASI,Asia,Y,MSY41l,36.33165,66.70937000000001,82
AF,Afghanistan,18693,103535,Wakhi,Wakhi,19000,1,Y,wbl,Wakhi,2,6,Islam,0,0,14,A005,Persian-Median,299,C0211,Tajik,4,5,"Central Asia",ASI,Asia,Y,CNT24z,36.96537,72.85093999999999,1
AF,Afghanistan,15866,110689,Warduji,Warduji,7600,1,Y,wrd,Warduji,0,6,Islam,0,0,14,A005,Persian-Median,268,C0179,Persian,1,5,"Central Asia",ASI,Asia,Y,CNT24f,36.98774,70.86259,1
AF,Afghanistan,15418,110865,Wotapuri-Katarqalai,Wotapuri-Katarqalai,3300,1,Y,pbu,"Pashto, Northern",4,6,Islam,0,0,21,A012,"South Asian Peoples",201,C0107,Kashmiri,1,5,"Central Asia",ASI,Asia,Y,CNN25i,35.121354,70.981163,1
AL,Albania,11880,103338,"Albanian, Gheg","Albanian, Gheg",1212000,2,N,aln,"Albanian, Gheg",4,6,Islam,36,0.4,12,A003,"Eurasian Peoples",106,C0008,Albanian,11,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW13,41.1098149640893,20.0818606675358,
AL,Albania,10249,100222,"Albanian, Tosk","Albanian, Tosk",1581000,2,N,als,"Albanian, Tosk",4,6,Islam,17,0.4,12,A003,"Eurasian Peoples",106,C0008,Albanian,13,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW13,40.54253,20.1558,
AL,Albania,15741,110448,"Americans, U.S.","Americans, U.S.",2100,5,N,eng,English,4,1,Christianity,78,33,18,A009,"North American Peoples",109,C0011,Anglo-American,104,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW19s,41.333518,19.810378,
AL,Albania,10328,100356,Anglo-Canadian,Anglo-Canadian,800,5,N,eng,English,4,1,Christianity,78,10.5,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,21,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW19d,41.33587,19.834638,
AL,Albania,10431,100520,Aromanian,Aromanian,7400,3,N,rup,Aromanian,2,1,Christianity,95,0.8,12,A003,"Eurasian Peoples",276,C0187,Romanian,8,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW21i,40.23232,20.63302,
AL,Albania,19007,114916,Deaf,Deaf,,1,Y,sqk,"Albanian Sign Language",0,6,Islam,0,0,26,A017,Deaf,328,C0252,Deaf,216,9,"Eastern Europe and Eurasia",EUR,Europe,Y,,41.3231537541424,19.7979090196855,1
AL,Albania,20676,117066,"Egyptian, Balkan","Egyptian, Balkan",3000,1,Y,als,"Albanian, Tosk",4,6,Islam,4,0,12,A003,"Eurasian Peoples",106,C0008,Albanian,5,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW13,41.345601,19.818675,1
AL,Albania,19215,115094,"European, general","European, general",6400,3,N,eng,English,4,1,Christianity,65,0.5,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,7,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEWxxx,41.421921,19.892526,
AL,Albania,18765,114431,Gorani,Gorani,36000,1,Y,srp,Serbian,4,6,Islam,5,0,12,A003,"Eurasian Peoples",284,C0195,"Slav, Southern",4,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW22a,40.660934,19.698161,1
AL,Albania,11942,103480,Greek,Greek,28000,3,N,ell,Greek,4,1,Christianity,90,0.2,12,A003,"Eurasian Peoples",178,C0082,Greek,74,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW20,40.07766,20.18662,
AL,Albania,12273,104096,Italian,Italian,7800,3,N,ita,Italian,4,1,Christianity,87,1.1,12,A003,"Eurasian Peoples",193,C0098,Italian,60,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW21e,41.324095,19.801377,
AL,Albania,13186,105968,Macedonian,Macedonian,5600,3,N,mkd,Macedonian,4,1,Christianity,90,1,12,A003,"Eurasian Peoples",284,C0195,"Slav, Southern",29,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW22g,41.68565,20.14576,
AL,Albania,13798,106775,Montenegrin,Montenegrin,1300,3,N,srp,Serbian,4,1,Christianity,70,0.140000000596046,12,A003,"Eurasian Peoples",284,C0195,"Slav, Southern",9,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW22h,40.5251594677635,19.9205882019654,
AL,Albania,14567,108394,"Romani, Vlax","Romani, Vlax",7400,4,N,rmy,"Romani, Vlax",3,6,Islam,25,6,12,A003,"Eurasian Peoples",354,C0279,Romani,30,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CNN25f,40.8007382646592,19.9114243567486,
AL,Albania,14864,108856,Serb,Serb,1300,3,N,srp,Serbian,4,1,Christianity,69,0.05,12,A003,"Eurasian Peoples",284,C0195,"Slav, Southern",39,9,"Eastern Europe and Eurasia",EUR,Europe,Y,CEW22a,40.5310706255407,19.9216976143623,
AL,Albania,18274,113818,Turk,Turk,1700,1,Y,tur,Turkish,4,6,Islam,0.01,0.0034535686876439,24,A015,"Turkic Peoples",309,C0221,Turkish,70,9,"Eastern Europe and Eurasia",EUR,Europe,Y,MSY41j,41.338572,19.796522,1
AG,Algeria,10379,100226,"Algerian, Arabic-speaking","Algerian, Arabic-speaking",28518000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,1,0.9,10,A001,"Arab World",115,C0017,"Arab, Maghreb",18,6,"Middle East and North Africa",AFR,Africa,Y,CMT32a,35.9974245827783,5.38943857423078,570
AG,Algeria,11722,102879,"Arab, Egyptian","Arab, Egyptian",17000,2,N,arz,"Arabic, Egyptian Spoken",3,6,Islam,11,2,10,A001,"Arab World",163,C0067,Egyptian,33,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,36.7094131458999,3.09809594297337,
AG,Algeria,12247,104056,"Arab, Iraqi","Arab, Iraqi",4500,1,Y,acm,"Arabic, Mesopotamian Spoken",1,6,Islam,0.699999988079071,0.699999988079071,10,A001,"Arab World",113,C0015,"Arab, Levant",23,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,28.4894699998406,1.28376999998551,1
AG,Algeria,13819,106804,"Arab, Moroccan","Arab, Moroccan",174000,1,Y,ary,"Arabic, Moroccan Spoken",4,6,Islam,0.150000005960464,0.150000005960464,10,A001,"Arab World",115,C0017,"Arab, Maghreb",21,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,35.672831999697,-0.625895000353978,3
AG,Algeria,11284,101950,"Bedouin, Chaamba","Bedouin, Chaamba",132000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,33.0876930004316,4.37932700024083,2
AG,Algeria,11633,102751,"Bedouin, Dui-Menia","Bedouin, Dui-Menia",79000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0.00999999977648258,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,30.8656100116926,-2.45841072097801,1
AG,Algeria,12944,105567,"Bedouin, Laguat","Bedouin, Laguat",79000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,33.9573922758328,3.10384444906208,1
AG,Algeria,13922,107028,"Bedouin, Nail","Bedouin, Nail",37000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,34.1449588567658,4.58884547563815,1
AG,Algeria,14584,108427,"Bedouin, Ruarha","Bedouin, Ruarha",79000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0,0,10,A001,"Arab World",115,C0017,"Arab, Maghreb",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,33.5254640696111,6.01443007618707,1
AG,Algeria,14938,108988,"Bedouin, Sidi","Bedouin, Sidi",132000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0.00999999977648258,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,27.6114879998713,-3.43099899990392,2
AG,Algeria,15095,109560,"Bedouin, Suafa","Bedouin, Suafa",125000,1,Y,arq,"Arabic, Algerian Spoken",3,6,Islam,0.00999999977648258,0,10,A001,"Arab World",137,C0041,"Bedouin, Saharan",1,6,"Middle East and North Africa",AFR,Africa,Y,CMT30,33.9574220352987,6.84987151915527,2
