PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,Evangelical Engagement,Population,Dispersed (Yes/No),ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Latitude,Longitude,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,EGIDS
16310,Arab World,"Arab, Arabian",Americas,Caribbean,Dominica,Without Homeland,"Arab, Syro-Lebanese",1,No,70,Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Free,Low,Low,Level 3: Reconsider travel,A001,C0013,100425,Arab,DMA,DO,,15.307,-61.387,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
17480,Arab World,"Arab, Arabian",Americas,South America,Ecuador,Without Homeland,"Arab, Syro-Lebanese",1,No,"2,300",Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,ECU,EC,,-2.203411,-79.921002,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
11545,Arab World,"Arab, Arabian",Africa,Eastern Africa,Ethiopia,Without Homeland,Arab,1,No,"10,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Extreme,Not Free,Moderate,Moderate,Level 2: Exercise increased caution,A001,C0013,100425,Arab,ETH,ET,,9.0081,38.7093,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42506,Arab World,"Arab, Arabian",Europe,Western Europe,Germany,Without Homeland,Arab,2,No,"5,000",Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Free,Moderate,High,Level 2: Exercise increased caution,A001,C0013,100425,Arab,DEU,GM,,52.513408,13.396298,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
13266,Arab World,"Arab, Arabian",Africa,Western Africa,Ghana,Without Homeland,Arab,1,No,"2,200",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Strenuous,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,GHA,GH,,5.599462,-0.232694,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
47072,Arab World,"Arab, Arabian",Europe,Southern Europe,Greece,Without Homeland,Arab,2,Yes,"270,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Low,Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,GRC,GR,,38.00544,23.738088,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,0
41734,Arab World,"Arab, Arabian",Asia,Southern Asia,India,Without Homeland,Arab,1,No,"1,800",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Strenuous,Free,High,Very High,Level 2: Exercise increased caution,A001,C0013,100425,Arab,IND,IN,,12.911715,75.075587,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
24127,Arab World,"Arab, Arabian",Asia,Southern Asia,Iran,,Arab,2,Yes,"1,200,000",,acm,Mesopotamian Arabic - (acm),Islam - Shia,,,,Yes,Yes,No,Yes,No,Yes,4,Medium,Not Free,Very High,Moderate,Level 4: Do not travel,A001,C0013,104053,"Arab, Iranian",IRN,IR,,31.311514,48.638705,Central Asian Peoples,,1,Engaged yet Unreached,3
11691,Arab World,"Arab, Arabian",Asia,Southern Asia,Iran,United Arab Emirates,"Arab, Gulf",1,Yes,"288,000",Yes,afb,Gulf Arabic - (afb),Islam,,,,Yes,Yes,No,Yes,No,No,3,Medium,Not Free,Very High,Moderate,Level 4: Do not travel,A001,C0013,100427,"Arab, Gulf",IRN,IR,AE,26.78318,54.77776,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
16383,Arab World,"Arab, Arabian",Americas,Caribbean,Jamaica,Without Homeland,Arab,1,No,"2,300",Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Free,Low,Low,Level 2: Exercise increased caution,A001,C0013,100425,Arab,JAM,JM,,18.016473,-76.804901,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42751,Arab World,"Arab, Arabian",Asia,Western Asia,Jordan,Saudi Arabia,"Arab, Saudi",1,No,"25,000",Yes,acw,Hijazi Arabic - (acw),Islam,,,,Yes,No,No,Yes,No,No,2,Medium,Partly Free,High,High,Level 2: Exercise increased caution,A001,C0013,108748,"Arab, Saudi - Hijazi",JOR,JO,SA,31.9537,35.9433,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,5
14761,Arab World,"Arab, Arabian",Africa,Eastern Africa,Kenya,Without Homeland,Arab,1,Yes,"55,500",Yes,swh,Swahili - (swh),Islam,,,,Yes,Yes,Yes,Yes,Yes,No,5,Strenuous,Partly Free,High,High,Level 2: Exercise increased caution,A001,C0013,100425,Arab,KEN,KE,,-2.102354,41.063912,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,1
11792,Arab World,"Arab, Arabian",Asia,Western Asia,Kuwait,,"Arab, Gulf",1,Yes,"805,000",No,afb,Gulf Arabic - (afb),Islam - Sunni,,,,Yes,Yes,No,Yes,No,No,3,Low,Partly Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,114491,"Arab, Saudi - Gulf",KWT,KU,,29.307877,47.889021,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
42756,Arab World,"Arab, Arabian",Asia,Western Asia,Kuwait,Oman,"Arab, Omani",1,No,"19,500",Yes,acx,Omani Arabic - (acx),Islam - Sunni,,,,Yes,No,No,No,No,Yes,2,Low,Partly Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,100431,"Arab, Omani",KWT,KU,MU,29.3809,47.9871,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,6a
48623,Arab World,"Arab, Arabian",Asia,Western Asia,Kuwait,,"Arabs, Kuwaiti Shia",1,Yes,"536,000",,afb,Gulf Arabic - (afb),Islam - Shia,,,,Yes,Yes,No,Yes,No,No,3,Low,Partly Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,113915,"Arab, Kuwaiti",KWT,KU,,29.266246,48.054637,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
42762,Arab World,"Arab, Arabian",Africa,Northern Africa,Libya,Qatar,Arabized Black,1,No,"120,000",,ayl,Libyan Arabic - (ayl),Islam - Sunni,,,,Yes,Yes,No,No,No,No,2,Medium,Not Free,High,High,Level 4: Do not travel,A001,C0013,118125,Arabized Kanuri,LBY,LY,QA,32.8597,13.241,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,3
18465,Arab World,"Arab, Arabian",Asia,South-Eastern Asia,Malaysia,Without Homeland,Arab,1,No,"16,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,MYS,MY,,3.15968,101.735264,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42248,Arab World,"Arab, Arabian",Asia,Southern Asia,Maldives,Without Homeland,Arab,1,No,650,Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,100425,Arab,MDV,MV,,4.176394,73.505165,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
374,Arab World,"Arab, Arabian",Europe,Southern Europe,Malta,Without Homeland,Arab,1,No,"7,200",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Low,Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,MLT,MT,,35.873651,14.512245,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
18478,Arab World,"Arab, Arabian",Oceania,Australia and New Zealand,New Zealand,Without Homeland,Arab,6,No,"4,900",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,NZL,NZ,,-36.914571,174.70232,Northern African and Middle Eastern Peoples,,2,No Longer Unreached,0
11871,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,Bahrain,"Arab, Bahraini",1,No,"20,000",Yes,abv,Baharna Arabic - (abv),Islam,,,,Yes,No,No,No,No,No,1,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,100772,"Arab, Bahraini",OMN,MU,BA,24.34,56.74,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,3
11872,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,,"Arab, Dhofari",1,No,"142,000",,adf,Dhofari Arabic - (adf),Islam,,,,Yes,No,No,No,No,No,1,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,102582,"Dhofari, Zofari",OMN,MU,,17.07958,54.48936,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,6a
11885,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,,"Arab, Omani",1,Yes,"961,000",No,acx,Omani Arabic - (acx),Islam - Other / Marginal,,,,Yes,No,No,No,No,Yes,2,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,100431,"Arab, Omani",OMN,MU,,23.602457,58.544391,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,6a
11889,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,Without Homeland,"Arab, Saudi",1,No,"45,500",Yes,arb,Standard Arabic - (arb),Islam,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,OMN,MU,,23.5829,58.4096,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
11873,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,,"Arabic, Shihhi Spoken",1,No,"20,000",No,ssh,Shihhi Arabic - (ssh),Islam,,,,Yes,No,No,No,No,No,1,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,108942,Shihuh,OMN,MU,,25.90542,56.21943,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,6a
11874,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,,Batahira,0,No,"1,400",,bhm,Bathari - (bhm),Islam - Sunni,,,,No,No,No,No,No,No,0,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,101122,Batahira ,OMN,MU,,17.940019,54.805092,South Asian Peoples,Yes,0,Unengaged and Unreached,8b
11878,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,,Harsusi,0,No,"1,700",,hss,Harsusi - (hss),Islam - Sunni,,,,No,No,No,No,No,No,0,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,103714,Harasi,OMN,MU,,19.6511,56.15619,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,7
11879,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,Yemen,Hobyot,0,No,175,Yes,hoh,Hobyót - (hoh),Islam,,,,No,No,No,No,No,No,0,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,103851,Hobyot,OMN,MU,YM,17.420062,52.962565,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,8a
11880,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,Saudi Arabia,Jibbali,1,Yes,"50,500",Yes,shv,Shehri - (shv),Islam - Sunni,,,,No,No,No,No,No,No,0,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,108895,Jibbali,OMN,MU,SA,17.29154,53.99526,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,6b
11883,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,Yemen,Mahra,1,Yes,"71,000",Yes,gdq,Mehri - (gdq),Islam - Other / Marginal,,,,Yes,No,No,No,No,No,1,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,106046,Mahra,OMN,MU,YM,18.17429,55.24469,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,6b
11890,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,United Arab Emirates,Omani Bedouin,1,Yes,"717,000",Yes,afb,Gulf Arabic - (afb),Islam,,,,Yes,Yes,No,Yes,No,No,3,Medium,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,100427,"Arab, Gulf",OMN,MU,AE,23.6683,58.1943,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
6321,Arab World,"Arab, Arabian",Asia,Southern Asia,Pakistan,Without Homeland,Arab,1,No,"3,300",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Strenuous,Partly Free,High,High,Level 3: Reconsider travel,A001,C0013,100425,Arab,PAK,PK,,24.909655,67.06246,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
11905,Arab World,"Arab, Arabian",Asia,Western Asia,Qatar,Kuwait,"Arab, Qatari",1,No,"538,000",Yes,afb,Gulf Arabic - (afb),Islam,,,,Yes,Yes,No,Yes,No,No,3,Low,Not Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,114491,"Arab, Saudi - Gulf",QAT,QA,KU,25.312348,51.403912,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,3
11906,Arab World,"Arab, Arabian",Asia,Western Asia,Qatar,Saudi Arabia,"Arab, Saudi",1,No,"41,500",Yes,acw,Hijazi Arabic - (acw),Islam,,,,Yes,No,No,Yes,No,No,2,Low,Not Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,108748,"Arab, Saudi - Hijazi",QAT,QA,SA,25.252903,51.428416,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,5
14875,Arab World,"Arab, Arabian",Africa,Eastern Africa,Rwanda,Without Homeland,Arab,1,No,"2,600",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Extreme,Not Free,Moderate,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,RWA,RW,,-1.952767,30.081952,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
11931,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,Oman,"Arab, Omani",1,No,"127,000",Yes,acx,Omani Arabic - (acx),Islam - Sunni,,,,Yes,No,No,No,No,Yes,2,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,100431,"Arab, Omani",SAU,SA,MU,24.6546,46.7933,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,6a
46680,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,Kuwait,"Arab, Saudi",1,Yes,"400,000",Yes,afb,Gulf Arabic - (afb),Islam - Sunni,,,,Yes,Yes,No,Yes,No,No,3,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,114491,"Arab, Saudi - Gulf",SAU,SA,KU,19.535714,41.983802,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
11922,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,,"Arab, Saudi Shia",1,Yes,"2,185,000",,afb,Gulf Arabic - (afb),Islam - Shia,,,,Yes,Yes,No,Yes,No,No,3,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,116092,"Arab, Gulf Shia",SAU,SA,,27.01182,49.625599,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,3
11933,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,,Hijazi Saudi Arabs,1,Yes,"9,600,000",No,acw,Hijazi Arabic - (acw),Islam - Sunni,,,,Yes,No,No,Yes,No,No,2,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,108748,"Arab, Saudi - Hijazi",SAU,SA,,21.419902,39.799692,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached,5
42798,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,Yemen,Mahra,1,No,"40,000",Yes,gdq,Mehri - (gdq),Islam - Sunni,,,,Yes,No,No,No,No,No,1,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,106046,Mahra,SAU,SA,YM,17.488214,47.108335,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,6b
42800,Arab World,"Arab, Arabian",Asia,Western Asia,Saudi Arabia,,Shahara,0,No,"49,000",No,shv,Shehri - (shv),Islam,,,,No,No,No,No,No,No,0,Low,Not Free,Very High,High,Level 2: Exercise increased caution,A001,C0013,108895,Jibbali,SAU,SA,,24.601318,46.687965,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,6b
10685,Arab World,"Arab, Arabian",Asia,South-Eastern Asia,Singapore,Without Homeland,Arab,1,No,"38,500",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Little,Partly Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,SGP,SN,,1.318586,103.856968,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
6429,Arab World,"Arab, Arabian",Asia,Southern Asia,Sri Lanka,Without Homeland,Arab,1,No,"4,600",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,4,Medium,Partly Free,High,High,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,LKA,CE,,6.955613,79.901101,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,0
42696,Arab World,"Arab, Arabian",Africa,Northern Africa,Sudan,,Hamer-Banna,1,No,"505,000",,apd,Sudanese Arabic - (apd),Islam,Yes,1,Agro-Pastoralists,Yes,Yes,Yes,Yes,Yes,No,5,Extreme,Not Free,High,Moderate,Level 3: Reconsider travel,A001,C0013,115330,Hamar,SDN,SU,,15.465707,36.394913,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,3
